A      1ALIMENTARY TRACT AND METABOLISM                                                                               
A11GA  4ASCORBIC ACID (VITAMIN C), PLAIN                                                                              
A11GB  4ASCORBIC ACID (VITAMIN C), COMBINATIONS                                                                       
A11H   3OTHER PLAIN VITAMIN PREPARATIONS                                                                              
A11HA  4OTHER PLAIN VITAMIN PREPARATIONS                                                                              
A11J   3OTHER VITAMIN PRODUCTS, COMBINATIONS                                                                          
A11JA  4COMBINATIONS OF VITAMINS                                                                                      
A11JB  4VITAMINS WITH MINERALS                                                                                        
A11JC  4VITAMINS, OTHER COMBINATIONS                                                                                  
A11W   3HERBAL VITAMIN REMEDIES CONTAINING ASCORBIC ACID (VITAMIN C)                                                  
A11WA  4HERBAL REMEDIES CONTAINING ASCORBIC ACID (VITAMIN C)                                                          
A11Y   3HERBAL VITAMIN REMEDIES, OTHER                                                                                
A11YA  4HERBAL VITAMIN REMEDIES CONTAINING VITAMIN E                                                                  
A11YB  4HERBAL VITAMIN REMEDIES CONTAINING VITAMIN B                                                                  
A12    2MINERAL SUPPLEMENTS                                                                                           
A12A   3CALCIUM                                                                                                       
A12AA  4CALCIUM                                                                                                       
A12AX  4CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS                                                       
A12B   3POTASSIUM                                                                                                     
A12BA  4POTASSIUM                                                                                                     
A12C   3OTHER MINERAL SUPPLEMENTS                                                                                     
A12CA  4SODIUM                                                                                                        
A12CB  4ZINC                                                                                                          
A12CC  4MAGNESIUM                                                                                                     
A12CD  4FLUORIDE                                                                                                      
A12CE  4SELENIUM                                                                                                      
A12CX  4OTHER MINERAL PRODUCTS                                                                                        
A13    2TONICS                                                                                                        
A13A   3TONICS                                                                                                        
A13AW  4HERBAL TONICS CONTAINING ALKALOIDS                                                                            
A13AY  4HERBAL TONICS, OTHER                                                                                          
A14    2ANABOLIC AGENTS FOR SYSTEMIC USE                                                                              
A14A   3ANABOLIC STEROIDS                                                                                             
A14AA  4ANDROSTAN DERIVATIVES                                                                                         
A14AB  4ESTREN DERIVATIVES                                                                                            
A14B   3OTHER ANABOLIC AGENTS                                                                                         
A15    2APPETITE STIMULANTS                                                                                           
A15W   3HERBAL APPETITE STIMULANTS                                                                                    
A15WA  4HERBAL APPETITE STIMULANTS                                                                                    
A16    2OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS                                                                
A16A   3OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS                                                                
A16AA  4AMINO ACIDS AND DERIVATIVES                                                                                   
A16AB  4ENZYMES                                                                                                       
A16AX  4VARIOUS ALIMENTARY TRACT AND METABOLISM PRODUCTS                                                              
B      1BLOOD AND BLOOD FORMING ORGANS                                                                                
B01    2ANTITHROMBOTIC AGENTS                                                                                         
B01A   3ANTITHROMBOTIC AGENTS                                                                                         
B01AA  4VITAMIN K ANTAGONISTS                                                                                         
B01AB  4HEPARIN GROUP                                                                                                 
B01AC  4PLATELET AGGREGATION INHIBITORS EXCL. HEPARIN                                                                 
B01AD  4ENZYMES                                                                                                       
B01AE  4DIRECT THROMBIN INHIBITORS                                                                                    
B01AF  4DIRECT FACTOR XA INHIBITORS                                                                                   
B01AX  4OTHER ANTITHROMBOTIC AGENTS                                                                                   
B02    2ANTIHEMORRHAGICS                                                                                              
B02A   3ANTIFIBRINOLYTICS                                                                                             
B02AA  4AMINO ACIDS                                                                                                   
B02AB  4PROTEINASE INHIBITORS                                                                                         
B02AW  4HERBAL ANTIFIBRINOLYTICS                                                                                      
B02B   3VITAMIN K AND OTHER HEMOSTATICS                                                                               
B02BA  4VITAMIN K                                                                                                     
B02BB  4FIBRINOGEN                                                                                                    
B02BC  4LOCAL HEMOSTATICS                                                                                             
B02BD  4BLOOD COAGULATION FACTORS                                                                                     
B02BW  4HERBAL CONTAINING VITAMIN-K                                                                                   
B02BX  4OTHER SYSTEMIC HEMOSTATICS                                                                                    
B03    2ANTIANEMIC PREPARATIONS                                                                                       
B03A   3IRON PREPARATIONS                                                                                             
B03AA  4IRON BIVALENT, ORAL PREPARATIONS                                                                              
B03AB  4IRON TRIVALENT, ORAL PREPARATIONS                                                                             
B03AC  4IRON, PARENTERAL PREPARATIONS                                                                                 
B03AD  4IRON IN COMBINATION WITH FOLIC ACID                                                                           
B03AE  4IRON IN OTHER COMBINATIONS                                                                                    
B03B   3VITAMIN B12 AND FOLIC ACID                                                                                    
B03BA  4VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)                                                                    
B03BB  4FOLIC ACID AND DERIVATIVES                                                                                    
B03X   3OTHER ANTIANEMIC PREPARATIONS                                                                                 
B03XA  4OTHER ANTIANEMIC PREPARATIONS                                                                                 
B03XW  4HERBAL ANTIANEMIC PREPARATIONS                                                                                
B05    2BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS                                                                     
B05A   3BLOOD AND RELATED PRODUCTS                                                                                    
B05AA  4BLOOD SUBSTITUTES AND PLASMA PROTEIN FRACTIONS                                                                
B05AX  4OTHER BLOOD PRODUCTS                                                                                          
B05B   3I.V. SOLUTIONS                                                                                                
