A      1ALIMENTARY TRACT AND METABOLISM                                                                               
C07B   3BETA BLOCKING AGENTS AND THIAZIDES                                                                            
C07BA  4BETA BLOCKING AGENTS, NON-SELECTIVE, AND THIAZIDES                                                            
C07BB  4BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES                                                                
C07BG  4ALPHA AND BETA BLOCKING AGENTS AND THIAZIDES                                                                  
C07C   3BETA BLOCKING AGENTS AND OTHER DIURETICS                                                                      
C07CA  4BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER DIURETICS                                                      
C07CB  4BETA BLOCKING AGENTS, SELECTIVE, AND OTHER DIURETICS                                                          
C07CG  4ALPHA AND BETA BLOCKING AGENTS AND OTHER DIURETICS                                                            
C07D   3BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS                                                           
C07DA  4BETA BLOCKING AGENTS, NON-SELECTIVE, THIAZIDES AND OTHER DIURETICS                                            
C07DB  4BETA BLOCKING AGENTS, SELECTIVE, THIAZIDES AND OTHER DIURETICS                                                
C07E   3BETA BLOCKING AGENTS AND VASODILATORS                                                                         
C07EA  4BETA BLOCKING AGENTS, NON-SELECTIVE, AND VASODILATORS                                                         
C07EB  4BETA BLOCKING AGENTS, SELECTIVE, AND VASODILATORS                                                             
C07F   3BETA BLOCKING AGENTS, OTHER COMBINATIONS                                                                      
C07FB  4BETA BLOCKING AGENTS AND CALCIUM CHANNEL BLOCKERS                                                             
C07FX  4BETA BLOCKING AGENTS, OTHER COMBINATIONS                                                                      
C08    2CALCIUM CHANNEL BLOCKERS                                                                                      
C08C   3SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS                                               
C08CA  4DIHYDROPYRIDINE DERIVATIVES                                                                                   
C08CX  4OTHER SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS                                         
C08D   3SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS                                                
C08DA  4PHENYLALKYLAMINE DERIVATIVES                                                                                  
C08DB  4BENZOTHIAZEPINE DERIVATIVES                                                                                   
C08E   3NON-SELECTIVE CALCIUM CHANNEL BLOCKERS                                                                        
C08EA  4PHENYLALKYLAMINE DERIVATIVES                                                                                  
C08EX  4OTHER NON-SELECTIVE CALCIUM CHANNEL BLOCKERS                                                                  
C08G   3CALCIUM CHANNEL BLOCKERS AND DIURETICS                                                                        
C08GA  4CALCIUM CHANNEL BLOCKERS AND DIURETICS                                                                        
C09    2AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM                                                                 
C09A   3ACE INHIBITORS, PLAIN                                                                                         
C09AA  4ACE INHIBITORS, PLAIN                                                                                         
C09B   3ACE INHIBITORS, COMBINATIONS                                                                                  
C09BA  4ACE INHIBITORS AND DIURETICS                                                                                  
C09BB  4ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS                                                                   
C09BX  4ACE INHIBITORS, OTHER COMBINATIONS                                                                            
C09C   3ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN                                                                
C09CA  4ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN                                                                
C09D   3ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), COMBINATIONS                                                         
C09DA  4ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS) AND DIURETICS                                                         
C09DB  4ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS) AND CALCIUM CHANNEL BLOCKERS                                          
C09DX  4ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), OTHER COMBINATIONS                                                   
C09X   3OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM                                                           
C09XA  4RENIN-INHIBITORS                                                                                              
C09XX  4OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM                                                           
C10    2LIPID MODIFYING AGENTS                                                                                        
C10A   3LIPID MODIFYING AGENTS, PLAIN                                                                                 
C10AA  4HMG COA REDUCTASE INHIBITORS                                                                                  
C10AB  4FIBRATES                                                                                                      
C10AC  4BILE ACID SEQUESTRANTS                                                                                        
C10AD  4NICOTINIC ACID AND DERIVATIVES                                                                                
C10AW  4HERBAL CHOLESTEROL AND TRIGLYCERIDE REDUCERS                                                                  
C10AX  4OTHER LIPID MODIFYING AGENTS                                                                                  
C10B   3LIPID MODIFYING AGENTS, COMBINATIONS                                                                          
C10BA  4COMBINATIONS OF VARIOUS LIPID MODIFYING AGENTS                                                                
C10BX  4LIPID MODIFYING AGENTS IN COMBINATION WITH OTHER DRUGS                                                        
D      1DERMATOLOGICALS                                                                                               
D01    2ANTIFUNGALS FOR DERMATOLOGICAL USE                                                                            
D01A   3ANTIFUNGALS FOR TOPICAL USE                                                                                   
D01AA  4ANTIBIOTICS                                                                                                   
D01AC  4IMIDAZOLE AND TRIAZOLE DERIVATIVES                                                                            
D01AE  4OTHER ANTIFUNGALS FOR TOPICAL USE                                                                             
D01AW  4HERBAL ANTIFUNGAL FOR TOPICAL USE, OTHER                                                                      
D01B   3ANTIFUNGALS FOR SYSTEMIC USE                                                                                  
D01BA  4ANTIFUNGALS FOR SYSTEMIC USE                                                                                  
D02    2EMOLLIENTS AND PROTECTIVES                                                                                    
D02A   3EMOLLIENTS AND PROTECTIVES                                                                                    
D02AA  4SILICONE PRODUCTS                                                                                             
D02AB  4ZINC PRODUCTS                                                                                                 
D02AC  4SOFT PARAFFIN AND FAT PRODUCTS                                                                                
D02AD  4LIQUID PLASTERS                                                                                               
D02AE  4CARBAMIDE PRODUCTS                                                                                            
D02AF  4SALICYLIC ACID PREPARATIONS                                                                                   
D02AX  4OTHER EMOLLIENTS AND PROTECTIVES                                                                              
D02B   3PROTECTIVES AGAINST UV-RADIATION                                                                              
D02BA  4PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE                                                              
D02BB  4PROTECTIVES AGAINST UV-RADIATION FOR SYSTEMIC USE                                                             
D02W   3HERBAL EMOLLIENTS AND PROTECTIVES                                                                             
D02WA  4HERBAL EMOLLIENTS AND PROTECTIVES CONTAINING MUCILAGE                                                         
D02WB  4HERBAL EMOLLIENTS AND PROTECTIVES CONTAINING OR CONSTITUTING OIL                                              
D02WX  4HERBAL EMOLLIENTS AND PROTECTIVES, OTHER                                                                      
D03    2PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS                                                               
D03A   3CICATRIZANTS                                                                                                  
D03AA  4COD-LIVER OIL OINTMENTS                                                                                       
D03AX  4OTHER CICATRIZANTS                                                                                            
D03B   3ENZYMES                                                                                                       
D03BA  4PROTEOLYTIC ENZYMES                                                                                           
D03W   3HERBAL PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS                                                        
D03WA  4HERBAL PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS CONTAINING TANNINS                                     
D03WB  4HERBAL PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS CONTAINING ASIATICOSID                                 
D03WC  4HERBAL PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS CONTAINING ALLANTOIN                                   
D03WX  4HERBAL PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS, OTHER                                                 
D04    2ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.                                                        
D04A   3ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.                                                        
D04AA  4ANTIHISTAMINES FOR TOPICAL USE                                                                                
D04AB  4ANESTHETICS FOR TOPICAL USE                                                                                   
D04AW  4HERBAL ANTIPRURITICS                                                                                          
D04AX  4OTHER ANTIPRURITICS                                                                                           
D05    2ANTIPSORIATICS                                                                                                
D05A   3ANTIPSORIATICS FOR TOPICAL USE                                                                                
D05AA  4TARS                                                                                                          
D05AC  4ANTRACEN DERIVATIVES                                                                                          
D05AD  4PSORALENS FOR TOPICAL USE                                                                                     
D05AX  4OTHER ANTIPSORIATICS FOR TOPICAL USE                                                                          
D05B   3ANTIPSORIATICS FOR SYSTEMIC USE                                                                               
D05BA  4PSORALENS FOR SYSTEMIC USE                                                                                    
D05BB  4RETINOIDS FOR TREATMENT OF PSORIASIS                                                                          
D05BX  4OTHER ANTIPSORIATICS FOR SYSTEMIC USE                                                                         
D06    2ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE                                                      
D06A   3ANTIBIOTICS FOR TOPICAL USE                                                                                   
D06AA  4TETRACYCLINE AND DERIVATIVES                                                                                  
D06AX  4OTHER ANTIBIOTICS FOR TOPICAL USE                                                                             
D06B   3CHEMOTHERAPEUTICS FOR TOPICAL USE                                                                             
D06BA  4SULFONAMIDES                                                                                                  
D06BB  4ANTIVIRALS                                                                                                    
D06BX  4OTHER CHEMOTHERAPEUTICS                                                                                       
D06C   3ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS                                                               
D07    2CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS                                                                  
D07A   3CORTICOSTEROIDS, PLAIN                                                                                        
D07AA  4CORTICOSTEROIDS, WEAK (GROUP I)                                                                               
D07AB  4CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)                                                                 
D07AC  4CORTICOSTEROIDS, POTENT (GROUP III)                                                                           
D07AD  4CORTICOSTEROIDS, VERY POTENT (GROUP IV)                                                                       
D07B   3CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS                                                                
D07BA  4CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTISEPTICS                                                          
D07BB  4CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS                                             
D07BC  4CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTISEPTICS                                                        
D07BD  4CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTISEPTICS                                                   
D07C   3CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS                                                                
D07CA  4CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTIBIOTICS                                                          
D07CB  4CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTIBIOTICS                                             
D07CC  4CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTIBIOTICS                                                        
D07CD  4CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTIBIOTICS                                                   
D07X   3CORTICOSTEROIDS, OTHER COMBINATIONS                                                                           
D07XA  4CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS                                                                     
D07XB  4CORTICOSTEROIDS, MODERATELY POTENT, OTHER COMBINATIONS                                                        
D07XC  4CORTICOSTEROIDS, POTENT, OTHER COMBINATIONS                                                                   
D07XD  4CORTICOSTEROIDS, VERY POTENT, OTHER COMBINATIONS                                                              
D08    2ANTISEPTICS AND DISINFECTANTS                                                                                 
D08A   3ANTISEPTICS AND DISINFECTANTS                                                                                 
D08AA  4ACRIDINE DERIVATIVES                                                                                          
D08AB  4ALUMINIUM AGENTS                                                                                              
D08AC  4BIGUANIDES AND AMIDINES                                                                                       
D08AD  4BORIC ACID PRODUCTS                                                                                           
D08AE  4PHENOL AND DERIVATIVES                                                                                        
D08AF  4NITROFURAN DERIVATIVES                                                                                        
D08AG  4IODINE PRODUCTS                                                                                               
D08AH  4QUINOLINE DERIVATIVES                                                                                         
D08AJ  4QUATERNARY AMMONIUM COMPOUNDS                                                                                 
D08AK  4MERCURIAL PRODUCTS                                                                                            
D08AL  4SILVER COMPOUNDS                                                                                              
D08AW  4HERBAL ANTISEPTICS AND DISINFECTANTS                                                                          
D08AX  4OTHER ANTISEPTICS AND DISINFECTANTS                                                                           
D09    2MEDICATED DRESSINGS                                                                                           
D09A   3MEDICATED DRESSINGS                                                                                           
D09AA  4MEDICATED DRESSINGS WITH ANTIINFECTIVES                                                                       
D09AB  4ZINC BANDAGES                                                                                                 
D09AX  4SOFT PARAFFIN DRESSINGS                                                                                       
D10    2ANTI-ACNE PREPARATIONS                                                                                        
D10A   3ANTI-ACNE PREPARATIONS FOR TOPICAL USE                                                                        
D10AA  4CORTICOSTEROIDS, COMBINATIONS FOR TREATMENT OF ACNE                                                           
D10AB  4PREPARATIONS CONTAINING SULFUR                                                                                
D10AD  4RETINOIDS FOR TOPICAL USE IN ACNE                                                                             
D10AE  4PEROXIDES                                                                                                     
D10AF  4ANTIINFECTIVES FOR TREATMENT OF ACNE                                                                          
D10AW  4HERBAL ANTI-ACNE PREPARATIONS FOR TOPICAL USE                                                                 
D10AX  4OTHER ANTI-ACNE PREPARATIONS FOR TOPICAL USE                                                                  
D10B   3ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE                                                                       
D10BA  4RETINOIDS FOR TREATMENT OF ACNE                                                                               
D10BX  4OTHER ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE                                                                 
D11    2OTHER DERMATOLOGICAL PREPARATIONS                                                                             
D11A   3OTHER DERMATOLOGICAL PREPARATIONS                                                                             
D11AA  4ANTIHIDROTICS                                                                                                 
D11AC  4MEDICATED SHAMPOOS                                                                                            
D11AE  4ANDROGENS FOR TOPICAL USE                                                                                     
D11AF  4WART AND ANTI-CORN PREPARATIONS                                                                               
D11AH  4AGENTS FOR DERMATITIS, EXCLUDING CORTICOSTEROIDS                                                              
D11AW  4HERBAL HIDROTICS                                                                                              
D11AX  4OTHER DERMATOLOGICALS                                                                                         
D11AY  4HERBAL AGENTS FOR TREATMENT OF ALOPECIA                                                                       
G      1GENITO URINARY SYSTEM AND SEX HORMONES                                                                        
G01    2GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS                                                                  
G01A   3ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS                                       
G01AA  4ANTIBIOTICS                                                                                                   
G01AB  4ARSENIC COMPOUNDS                                                                                             
G01AC  4QUINOLINE DERIVATIVES                                                                                         
G01AD  4ORGANIC ACIDS                                                                                                 
G01AE  4SULFONAMIDES                                                                                                  
G01AF  4IMIDAZOLE DERIVATIVES                                                                                         
G01AG  4TRIAZOLE DERIVATIVES                                                                                          
G01AW  4HERBAL GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS                                                           
G01AX  4OTHER ANTIINFECTIVES AND ANTISEPTICS                                                                          
G01B   3ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS                                                
G01BA  4ANTIBIOTICS AND CORTICOSTEROIDS                                                                               
G01BC  4QUINOLINE DERIVATIVES AND CORTICOSTEROIDS                                                                     
G01BD  4ANTISEPTICS AND CORTICOSTEROIDS                                                                               
G01BE  4SULFONAMIDES AND CORTICOSTEROIDS                                                                              
G01BF  4IMIDAZOLE DERIVATIVES AND CORTICOSTEROIDS                                                                     
G02    2OTHER GYNECOLOGICALS                                                                                          
G02A   3UTEROTONICS                                                                                                   
G02AB  4ERGOT ALKALOIDS                                                                                               
G02AC  4ERGOT ALKALOIDS AND OXYTOCIN INCL. ANALOGUES, IN COMBINATION                                                  
G02AD  4PROSTAGLANDINS                                                                                                
G02AW  4HERBAL OXYTOCICS                                                                                              
G02AX  4OTHER UTEROTONICS                                                                                             
G02AY  4HERBAL ABORTIFACIENTS                                                                                         
G02B   3CONTRACEPTIVES FOR TOPICAL USE                                                                                
G02BA  4INTRAUTERINE CONTRACEPTIVES                                                                                   
G02BB  4INTRAVAGINAL CONTRACEPTIVES                                                                                   
G02C   3OTHER GYNECOLOGICALS                                                                                          
G02CA  4SYMPATHOMIMETICS, LABOUR REPRESSANTS                                                                          
G02CB  4PROLACTINE INHIBITORS                                                                                         
G02CC  4ANTIINFLAMMATORY PRODUCTS FOR VAGINAL ADMINISTRATION                                                          
G02CW  4HERBAL PREPARATIONS FOR TREATMENT OF BLEEDINGS AND/OR REMOVAL OF THE PLACENTA FOLLOWING PARTURITION           
G02CX  4OTHER GYNECOLOGICALS                                                                                          
G02W   3HERBAL GYNECOLOGICALS, OTHER                                                                                  
G02WA  4HERBAL EMMENAGOGUES                                                                                           
G02WB  4HERBAL REMEDIES FOR TREATMENT OF PREMENSTRUAL SYNDROME OR DYSMENORRHOEA                                       
G02WC  4HERBAL REMEDIES FOR TREATMENT OF MENORRHAGIA AND METRORRHAGIA                                                 
G02WD  4HERBAL REMEDIES FOR STIMULATION OF LACTATION                                                                  
G02WE  4HERBAL PREPARATIONS FOR INHIBITION OF LACTATION                                                               
G02WX  4HERBAL REMEDIES FOR GYNECOLOGICAL DISORDERS, OTHER                                                            
G03    2SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM                                                             
G03A   3HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE                                                                      
G03AA  4PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS                                                                
G03AB  4PROGESTOGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS                                                           
G03AC  4PROGESTOGENS                                                                                                  
G03AD  4EMERGENCY CONTRACEPTIVES                                                                                      
G03B   3ANDROGENS                                                                                                     
G03BA  43-OXOANDROSTEN (4) DERIVATIVES                                                                                
G03BB  45-ANDROSTANON (3) DERIVATIVES                                                                                 
G03BX  4HERBAL ANDROGENICS                                                                                            
G03C   3ESTROGENS                                                                                                     
G03CA  4NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN                                                                    
G03CB  4SYNTHETIC ESTROGENS, PLAIN                                                                                    
G03CC  4ESTROGENS, COMBINATIONS WITH OTHER DRUGS                                                                      
G03CX  4OTHER ESTROGENS                                                                                               
G03D   3PROGESTOGENS                                                                                                  
G03DA  4PREGNEN (4) DERIVATIVES                                                                                       
G03DB  4PREGNADIEN DERIVATIVES                                                                                        
G03DC  4ESTREN DERIVATIVES                                                                                            
G03E   3ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION                                                              
G03EA  4ANDROGENS AND ESTROGENS                                                                                       
G03EB  4ANDROGEN, PROGESTOGEN AND ESTROGEN IN COMBINATION                                                             
G03EK  4ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION WITH OTHER DRUGS                                             
G03F   3PROGESTOGENS AND ESTROGENS IN COMBINATION                                                                     
G03FA  4PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS                                                                
G03FB  4PROGESTOGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS                                                           
G03G   3GONADOTROPINS AND OTHER OVULATION STIMULANTS                                                                  
G03GA  4GONADOTROPINS                                                                                                 
G03GB  4OVULATION STIMULANTS, SYNTHETIC                                                                               
G03H   3ANTIANDROGENS                                                                                                 
G03HA  4ANTIANDROGENS, PLAIN                                                                                          
G03HB  4ANTIANDROGENS AND ESTROGENS                                                                                   
G03W   3HERBAL REMEDIES WITH SEX-HORMONE-LIKE ACTIVITY                                                                
G03WA  4HERBAL REMEDIES WITH ESTROGEN-LIKE ACTIVITY                                                                   
G03WB  4HERBAL CONTRACEPTIVES                                                                                         
G03WC  4HERBAL REMEDIES AGAINST SPERMATORRHOEA                                                                        
G03X   3OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM                                                       
G03XA  4ANTIGONADOTROPINS AND SIMILAR AGENTS                                                                          
G03XB  4PROGESTERONE RECEPTOR MODULATORS                                                                              
G03XC  4SELECTIVE ESTROGEN RECEPTOR MODULATORS                                                                        
G03XX  4OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM                                                       
G04    2UROLOGICALS                                                                                                   
G04B   3UROLOGICALS                                                                                                   
G04BA  4ACIDIFIERS                                                                                                    
G04BC  4URINARY CONCREMENT SOLVENTS                                                                                   
G04BD  4DRUGS FOR URINARY FREQUENCY AND INCONTINENCE                                                                  
G04BE  4DRUGS USED IN ERECTILE DYSFUNCTION                                                                            
G04BX  4OTHER UROLOGICALS                                                                                             
G04C   3DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY                                                                    
G04CA  4ALPHA-ADRENORECEPTOR ANTAGONISTS                                                                              
G04CB  4TESTOSTERONE-5-ALPHA REDUCTASE INHIBITORS                                                                     
G04CW  4HERBAL DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY                                                             
G04CX  4OTHER DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY                                                              
H      1SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS                                               
H01    2PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES                                                             
H01A   3ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES                                                                
H01AA  4ACTH                                                                                                          
H01AB  4THYROTROPIN                                                                                                   
H01AC  4SOMATROPIN AND SOMATROPIN AGONISTS                                                                            
H01AX  4OTHER ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES                                                          
H01B   3POSTERIOR PITUITARY LOBE HORMONES                                                                             
H01BA  4VASOPRESSIN AND ANALOGUES                                                                                     
H01BB  4OXYTOCIN AND ANALOGUES                                                                                        
H01C   3HYPOTHALAMIC HORMONES                                                                                         
H01CA  4GONADOTROPIN-RELEASING HORMONES                                                                               
H01CB  4SOMATOSTATIN AND ANALOGUES                                                                                    
H01CC  4ANTI-GONADOTROPIN-RELEASING HORMONES                                                                          
H02    2CORTICOSTEROIDS FOR SYSTEMIC USE                                                                              
H02A   3CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN                                                                       
H02AA  4MINERALOCORTICOIDS                                                                                            
H02AB  4GLUCOCORTICOIDS                                                                                               
H02B   3CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS                                                                
H02BX  4CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS                                                                
H02C   3ANTIADRENAL PREPARATIONS                                                                                      
H02CA  4ANTICORTICOSTEROIDS                                                                                           
H03    2THYROID THERAPY                                                                                               
H03A   3THYROID PREPARATIONS                                                                                          
H03AA  4THYROID HORMONES                                                                                              
H03B   3ANTITHYROID PREPARATIONS                                                                                      
H03BA  4THIOURACILS                                                                                                   
H03BB  4SULFUR-CONTAINING IMIDAZOLE DERIVATIVES                                                                       
H03BC  4PERCHLORATES                                                                                                  
H03BW  4HERBAL ANTITHYROID REMEDIES                                                                                   
H03BX  4OTHER ANTITHYROID PREPARATIONS                                                                                
H03C   3IODINE THERAPY                                                                                                
H03CA  4IODINE THERAPY                                                                                                
H03CW  4HERBAL REMEDIES FOR IODINE THERAPY                                                                            
H04    2PANCREATIC HORMONES                                                                                           
H04A   3GLYCOGENOLYTIC HORMONES                                                                                       
H04AA  4GLYCOGENOLYTIC HORMONES                                                                                       
H05    2CALCIUM HOMEOSTASIS                                                                                           
H05A   3PARATHYROID HORMONES AND ANALOGUES                                                                            
H05AA  4PARATHYROID HORMONES AND ANALOGUES                                                                            
H05B   3ANTI-PARATHYROID AGENTS                                                                                       
H05BA  4CALCITONIN PREPARATIONS                                                                                       
H05BX  4OTHER ANTI-PARATHYROID AGENTS                                                                                 
J      1ANTIINFECTIVES FOR SYSTEMIC USE                                                                               
J01    2ANTIBACTERIALS FOR SYSTEMIC USE                                                                               
J01A   3TETRACYCLINES                                                                                                 
J01AA  4TETRACYCLINES                                                                                                 
J01B   3AMPHENICOLS                                                                                                   
J01BA  4AMPHENICOLS                                                                                                   
J01C   3BETA-LACTAM ANTIBACTERIALS, PENICILLINS                                                                       
J01CA  4PENICILLINS WITH EXTENDED SPECTRUM                                                                            
J01CE  4BETA-LACTAMASE SENSITIVE PENICILLINS                                                                          
J01CF  4BETA-LACTAMASE RESISTANT PENICILLINS                                                                          
J01CG  4BETA-LACTAMASE INHIBITORS                                                                                     
J01CR  4COMBINATIONS OF PENICILLINS, INCL. BETA-LACTAMASE INHIBITORS                                                  
J01D   3OTHER BETA-LACTAM ANTIBACTERIALS                                                                              
J01DB  4FIRST-GENERATION CEPHALOSPORINS                                                                               
J01DC  4SECOND-GENERATION CEPHALOSPORINS                                                                              
J01DD  4THIRD-GENERATION CEPHALOSPORINS                                                                               
J01DE  4FOURTH-GENERATION CEPHALOSPORINS                                                                              
J01DF  4MONOBACTAMS                                                                                                   
J01DH  4CARBAPENEMS                                                                                                   
J01DI  4OTHER CEPHALOSPORINS AND PENEMS                                                                               
J01E   3SULFONAMIDES AND TRIMETHOPRIM                                                                                 
J01EA  4TRIMETHOPRIM AND DERIVATIVES                                                                                  
J01EB  4SHORT-ACTING SULFONAMIDES                                                                                     
J01EC  4INTERMEDIATE-ACTING SULFONAMIDES                                                                              
J01ED  4LONG-ACTING SULFONAMIDES                                                                                      
J01EE  4COMBINATIONS OF SULFONAMIDES AND TRIMETHOPRIM, INCL. DERIVATIVES                                              
J01F   3MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS                                                                   
J01FA  4MACROLIDES                                                                                                    
J01FF  4LINCOSAMIDES                                                                                                  
J01FG  4STREPTOGRAMINS                                                                                                
J01G   3AMINOGLYCOSIDE ANTIBACTERIALS                                                                                 
J01GA  4STREPTOMYCINS                                                                                                 
J01GB  4OTHER AMINOGLYCOSIDES                                                                                         
J01M   3QUINOLONE ANTIBACTERIALS                                                                                      
J01MA  4FLUOROQUINOLONES                                                                                              
J01MB  4OTHER QUINOLONES                                                                                              
J01R   3COMBINATIONS OF ANTIBACTERIALS                                                                                
J01RA  4COMBINATIONS OF ANTIBACTERIALS                                                                                
J01W   3HERBAL ANTIBACTERIALS AND ANTIINFECTIVES FOR SYSTEMIC USE                                                     
J01WA  4HERBAL ANTIBACTERIALS FOR SYSTEMIC USE                                                                        
J01WB  4HERBAL URINARY ANTISEPTICS AND ANTIINFECTIVES                                                                 
J01X   3OTHER ANTIBACTERIALS                                                                                          
J01XA  4GLYCOPEPTIDE ANTIBACTERIALS                                                                                   
J01XB  4POLYMYXINS                                                                                                    
J01XC  4STEROID ANTIBACTERIALS                                                                                        
J01XD  4IMIDAZOLE DERIVATIVES                                                                                         
J01XE  4NITROFURAN DERIVATIVES                                                                                        
J01XX  4OTHER ANTIBACTERIALS                                                                                          
J02    2ANTIMYCOTICS FOR SYSTEMIC USE                                                                                 
J02A   3ANTIMYCOTICS FOR SYSTEMIC USE                                                                                 
J02AA  4ANTIBIOTICS                                                                                                   
J02AB  4IMIDAZOLE DERIVATIVES                                                                                         
J02AC  4TRIAZOLE AND TETRAZOLE DERIVATIVES                                                                            
J02AW  4HERBAL ANTIMYCOTICS FOR SYSTEMIC USE                                                                          
J02AX  4OTHER ANTIMYCOTICS FOR SYSTEMIC USE                                                                           
J04    2ANTIMYCOBACTERIALS                                                                                            
J04A   3DRUGS FOR TREATMENT OF TUBERCULOSIS                                                                           
J04AA  4AMINOSALICYLIC ACID AND DERIVATIVES                                                                           
J04AB  4ANTIBIOTICS                                                                                                   
J04AC  4HYDRAZIDES                                                                                                    
J04AD  4THIOCARBAMIDE DERIVATIVES                                                                                     
J04AK  4OTHER DRUGS FOR TREATMENT OF TUBERCULOSIS                                                                     
J04AM  4COMBINATIONS OF DRUGS FOR TREATMENT OF TUBERCULOSIS                                                           
J04AW  4HERBAL DRUGS FOR TREATMENT OF TUBERCULOSIS                                                                    
J04B   3DRUGS FOR TREATMENT OF LEPRA                                                                                  
J04BA  4DRUGS FOR TREATMENT OF LEPRA                                                                                  
J04BW  4HERBAL DRUGS FOR TREATMENT OF LEPRA                                                                           
J05    2ANTIVIRALS FOR SYSTEMIC USE                                                                                   
J05A   3DIRECT ACTING ANTIVIRALS                                                                                      
J05AA  4THIOSEMICARBAZONES                                                                                            
J05AB  4NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS                                            
J05AC  4CYCLIC AMINES                                                                                                 
J05AD  4PHOSPHONIC ACID DERIVATIVES                                                                                   
J05AE  4PROTEASE INHIBITORS                                                                                           
J05AF  4NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS                                                    
J05AG  4NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS                                                               
